boot,corpus,point,sha,run,ms,rc,proved,failed,trivial
1787422888,synth300,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,2,4137,0,1500,0,300
1787422888,synth300,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,3,4144,0,1500,0,300
1787422888,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,1,4285,0,1500,0,300
1787422888,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,2,4307,0,1500,0,300
1787422888,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,3,4293,0,1500,0,300
1787422888,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,1,4887,0,1500,0,300
1787422888,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,2,4188,0,1500,0,300
1787422888,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,3,4252,0,1500,0,300
1787422888,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,1,3063,0,1500,0,300
1787422888,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,2,3165,0,1500,0,300
1787422888,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,3,3083,0,1500,0,300
1787422888,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,1,3091,0,1500,0,300
1787422888,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,2,3122,0,1500,0,300
1787422888,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,3,3054,0,1500,0,300
1787422888,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,1,4479,0,1500,0,300
1787422888,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,2,3142,0,1500,0,300
1787422888,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,3,3178,0,1500,0,300
1787422888,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,1,3966,0,1500,0,300
1787422888,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,2,3061,0,1500,0,300
1787422888,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,3,3018,0,1500,0,300
1787422888,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,1,3611,0,1500,0,300
1787422888,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,2,3097,0,1500,0,300
1787422888,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,3,3103,0,1500,0,300
1787422888,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,1,3740,0,1500,0,300
1787422888,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,2,2967,0,1500,0,300
1787422888,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,3,3054,0,1500,0,300
1787503631,mono,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,1,1156257,0,950,35,1902
1787503631,mono,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,2,1160204,0,950,35,1902
1787523475,mono,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,1,1078432,0,950,35,1902
1787523475,mono,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,2,1083923,0,950,35,1902
1787523475,mono,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,1,1052906,0,950,35,1902
